# real space correlation function weights for Xi_+ in Real space
# lowest theta boundary = 2.0
# highest theta boundary = 300.0
# number of theta bins = 9
# type of binning = log
# theta[arcmin]      R(theta)
2.055781039062643423e+00 0.000000000000000000e+00
2.055884050363808058e+00 0.000000000000000000e+00
2.055987066826673981e+00 0.000000000000000000e+00
2.056090088451500097e+00 0.000000000000000000e+00
2.056193115238544866e+00 0.000000000000000000e+00
2.056296147188067192e+00 0.000000000000000000e+00
2.056399184300325977e+00 0.000000000000000000e+00
2.056502226575579684e+00 0.000000000000000000e+00
2.056605274014086771e+00 0.000000000000000000e+00
2.056708326616106142e+00 0.000000000000000000e+00
2.056811384381896701e+00 0.000000000000000000e+00
2.056914447311716909e+00 0.000000000000000000e+00
2.057017515405826114e+00 0.000000000000000000e+00
